site,trophic_category,species,trophic_level_fbase,size_max,guild,carbon,hydrogen,nitrogen,hydrogen_water,W,W_sd,W_compound,hydrogen_raw,kingdom
Sub-Humid,I-Gatherer,Dogielinotidae,2,NA,Invertebrate,-32.85119485,-120.08261937063797,8.494403694,-6.45,0.173,0.122,0.31607229912589563,-122.1212857,Animal
Sub-Humid,I-Predator,Dytiscidae,3,NA,Invertebrate,-25.45290685,-102.0068238456176,7.249774669,-6.45,0.173,0.122,0.4343917913771157,-104.8086509,Animal
Sub-Humid,I-Predator,Dytiscidae,3,NA,Invertebrate,-38.04823004,-137.1767950456176,4.7559669,-6.45,0.173,0.122,0.4343917913771157,-139.9786221,Animal
Sub-Humid,F-Invertivore,E.gracile,3.2,80,Fish,-30.58363718,-83.24109514677068,8.631897485,-6.45,0.173,0.122,0.45547627646966393,-86.17891713,Animal
Sub-Humid,I-NA,Filamentous Algae,1,NA,Aquatic,-39.43910991,-145.87721416776054,5.370903653,-6.45,0.173,0.122,0.17300157088983747,-146.9930743,Plant
Sub-Humid,I-NA,Filamentous Algae,1,NA,Aquatic,-30.82308491,-142.97153496776056,2.926943309,-6.45,0.173,0.122,0.17300157088983747,-144.0873951,Plant
Sub-Humid,I-NA,Filamentous Algae,1,NA,Aquatic,-40.62202261,-135.51186346776055,4.511029459,-6.45,0.173,0.122,0.17300157088983747,-136.6277236,Plant
Sub-Humid,I-NA,Filamentous Algae,1,NA,Aquatic,-38.6102524,-141.05668446776056,6.22057768,-6.45,0.173,0.122,0.17300157088983747,-142.1725446,Plant
Sub-Humid,I-NA,Filamentous Algae,1,NA,Aquatic,-37.11012263,-172.58158796776056,5.640188099,-6.45,0.173,0.122,0.17300157088983747,-173.6974481,Plant
Sub-Humid,I-NA,Filamentous Algae,1,NA,Aquatic,-40.30275897,-147.59977700776057,4.187684121,-6.45,0.173,0.122,0.17300157088983747,-148.71563714,Plant
Sub-Humid,I-NA,C3 grass,1,NA,Terrestrial,-31.57007995,-67.80619395776056,0.934850424,-6.45,0.173,0.122,0.17300157088983747,-68.92205409,Plant
Sub-Humid,I-NA,C3 grass,1,NA,Terrestrial,-30.60307952,-101.60125406776055,1.2255552220000001,-6.45,0.173,0.122,0.17300157088983747,-102.7171142,Plant
Sub-Humid,I-NA,C3 grass,1,NA,Terrestrial,-31.7365879,-84.02416266776055,5.0341244,-6.45,0.173,0.122,0.17300157088983747,-85.1400228,Plant
Sub-Humid,I-Predator,Gyrinidae,3,NA,Invertebrate,-28.62739821,-108.9626551456176,5.702735498,-6.45,0.173,0.122,0.4343917913771157,-111.7644822,Animal
Sub-Humid,F-Invertivore,L.auritus,3.2,120,Fish,-26.79090584,-79.28163421677067,8.15252284,-6.45,0.173,0.122,0.45547627646966393,-82.2194562,Animal
Sub-Humid,F-Invertivore,L.auritus,3.2,120,Fish,-29.45071652,-96.00170944677068,9.448231046,-6.45,0.173,0.122,0.45547627646966393,-98.93953143,Animal
Sub-Humid,F-Invertivore,L.auritus,3.2,120,Fish,-25.98739991,-85.54181545677068,11.67652549,-6.45,0.173,0.122,0.45547627646966393,-88.47963744,Animal
Sub-Humid,F-Invertivore,L.auritus,3.2,160,Fish,-28.20219191142857,-84.38519256677067,9.759189456428572,-6.45,0.173,0.122,0.45547627646966393,-87.32301455,Animal
Sub-Humid,F-Invertivore,L.auritus,3.2,160,Fish,-27.05050007,-77.79911965677067,8.916191611,-6.45,0.173,0.122,0.45547627646966393,-80.73694164,Animal
Sub-Humid,F-Invertivore,L.auritus,3.2,80,Fish,-29.87513248,-89.09906975677067,9.479586983,-6.45,0.173,0.122,0.45547627646966393,-92.03689174,Animal
Sub-Humid,F-Invertivore,L.auritus,3.2,80,Fish,-29.53415752,-90.21199983677067,9.436093265,-6.45,0.173,0.122,0.45547627646966393,-93.14982182,Animal
Sub-Humid,F-Invertivore,L.auritus,3.2,80,Fish,-28.72653104,-71.90471218677067,11.20517496,-6.45,0.173,0.122,0.45547627646966393,-74.84253417,Animal
Sub-Humid,F-Piscivore,L.cyanellus,3.5,100,Fish,-28.727046110000003,-87.6420281681044,10.3954837675,-6.45,0.173,0.122,0.4856384948675363,-90.77439646,Animal
Sub-Humid,F-Piscivore,L.cyanellus,3.5,120,Fish,-27.2153218,-84.1158636581044,9.324830265,-6.45,0.173,0.122,0.4856384948675363,-87.24823195,Animal
Sub-Humid,F-Piscivore,L.cyanellus,3.5,120,Fish,-30.23877042,-84.1158636581044,11.46613727,-6.45,0.173,0.122,0.4856384948675363,-87.24823195,Animal
Sub-Humid,F-Piscivore,L.cyanellus,3.5,160,Fish,-28.727046110000003,-80.5896991481044,10.3954837675,-6.45,0.173,0.122,0.4856384948675363,-83.72206744,Animal
Sub-Humid,F-Invertivore,L.gulosus,3.4,120,Fish,-28.58643257,-77.11420242491782,9.821467837,-6.45,0.173,0.122,0.475774783733672,-80.18294978,Animal
Sub-Humid,F-Invertivore,L.gulosus,3.4,120,Fish,-28.1960111,-80.68712018491782,9.47250661,-6.45,0.173,0.122,0.475774783733672,-83.75586754,Animal
Sub-Humid,F-Invertivore,L.gulosus,3.4,80,Fish,-29.46513842,-81.48842984491782,9.064879438,-6.45,0.173,0.122,0.475774783733672,-84.5571772,Animal
Sub-Humid,F-Invertivore,L.gulosus,3.4,80,Fish,-29.39611932,-78.15458595491782,9.402714365,-6.45,0.173,0.122,0.475774783733672,-81.22333331,Animal
Sub-Humid,F-Invertivore,L.gulosus,3.4,80,Fish,-28.544197,-77.51320846491782,9.560505528,-6.45,0.173,0.122,0.475774783733672,-80.58195582,Animal
Sub-Humid,F-Invertivore,L.macrochirus,3.2,120,Fish,-24.89751621,-80.35885884677067,19.10383647,-6.45,0.173,0.122,0.45547627646966393,-83.29668083,Animal
Sub-Humid,F-Invertivore,L.macrochirus,3.2,120,Fish,-25.80506587,-80.35885884677067,8.796836757,-6.45,0.173,0.122,0.45547627646966393,-83.29668083,Animal
Sub-Humid,F-Invertivore,L.macrochirus,3.2,120,Fish,-26.61372248,-77.97306651121512,9.136694647,-6.45,0.173,0.122,0.45547627646966393,-80.91088849444445,Animal
Sub-Humid,F-Invertivore,L.macrochirus,3.2,160,Fish,-27.4053818575,-73.97476214677067,11.756053247,-6.45,0.173,0.122,0.45547627646966393,-76.91258413,Animal
Sub-Humid,F-Invertivore,L.macrochirus,3.2,160,Fish,-27.4053818575,-84.70505691677067,11.756053247,-6.45,0.173,0.122,0.45547627646966393,-87.6428789,Animal
Sub-Humid,F-Invertivore,L.macrochirus,3.2,80,Fish,-28.94182943,-77.03985402677067,9.214578747,-6.45,0.173,0.122,0.45547627646966393,-79.97767601,Animal
Sub-Humid,F-Invertivore,L.macrochirus,3.2,80,Fish,-26.79399625,-55.01455551677066,16.99894281,-6.45,0.173,0.122,0.45547627646966393,-57.9523775,Animal
Sub-Humid,F-Invertivore,L.macrochirus,3.2,80,Fish,-28.126992,-75.10418007677067,9.553425155,-6.45,0.173,0.122,0.45547627646966393,-78.04200206,Animal
Sub-Humid,F-Invertivore,L.macrochirus,3.2,80,Fish,-28.99539649,-84.84437927677067,11.06660195,-6.45,0.173,0.122,0.45547627646966393,-87.78220126,Animal
Sub-Humid,F-Invertivore,L.macrochirus,3.2,80,Fish,-29.06853613,-90.35709294677068,10.17750944,-6.45,0.173,0.122,0.45547627646966393,-93.29491493,Animal
Sub-Humid,F-Piscivore,L.megalotis,3.6,80,Fish,-27.50765486,-73.84632441942327,9.620293802,-6.45,0.173,0.122,0.4953166124925167,-77.04111657,Animal
Sub-Humid,F-Piscivore,L.megalotis,3.6,80,Fish,-28.96758282,-87.91630663942327,9.57264331,-6.45,0.173,0.122,0.4953166124925167,-91.11109879,Animal
Sub-Humid,F-Piscivore,L.megalotis,3.6,80,Fish,-29.6485026,-83.27785395942327,9.35011731,-6.45,0.173,0.122,0.4953166124925167,-86.47264611,Animal
Sub-Humid,F-Piscivore,L.megalotis,3.6,80,Fish,-29.67013545,-92.60785784942327,9.827536728,-6.45,0.173,0.122,0.4953166124925167,-95.80265,Animal
Sub-Humid,F-Piscivore,L.microlophus,3.5,120,Fish,-30.07909937,-90.0627951281044,9.068925365,-6.45,0.173,0.122,0.4856384948675363,-93.19516342,Animal
Sub-Humid,F-Piscivore,L.microlophus,3.5,120,Fish,-29.78448053,-90.0627951281044,8.42562293,-6.45,0.173,0.122,0.4856384948675363,-93.19516342,Animal
Sub-Humid,F-Piscivore,L.microlophus,3.5,160,Fish,-29.93178995,-84.7232039081044,8.7472741475,-6.45,0.173,0.122,0.4856384948675363,-87.8555722,Animal
Sub-Humid,F-Piscivore,L.oculatus,4,400,Fish,-26.49277342,-82.91456734602575,11.29080962,-6.45,0.173,0.122,0.5322420114688746,-86.34752832,Animal
Sub-Humid,F-Piscivore,L.oculatus,4,580,Fish,-25.99480163,-68.77918044602575,13.85020987,-6.45,0.173,0.122,0.5322420114688746,-72.21214142,Animal
Sub-Humid,I-NA,leaf,1,NA,Terrestrial,-32.316051710000004,-94.12368009776056,2.771900749,-6.45,0.173,0.122,0.17300157088983747,-95.23954023,Plant
Sub-Humid,I-NA,leaf,1,NA,Terrestrial,-30.96532095,-57.353613187760544,1.450978944,-6.45,0.173,0.122,0.17300157088983747,-58.46947332,Plant
Sub-Humid,I-NA,leaf,1,NA,Terrestrial,-32.11753522,-91.45141222776056,4.920056211,-6.45,0.173,0.122,0.17300157088983747,-92.56727236,Plant
Sub-Humid,I-Gatherer,Leptophlebiidae,2,NA,Invertebrate,-35.23904967,-108.37688287063797,4.375649738,-6.45,0.173,0.122,0.31607229912589563,-110.4155492,Animal
Sub-Humid,F-Piscivore,M.salmoides,3.8,80,Fish,-29.62686975,-96.26971696438528,10.10872867,-6.45,0.173,0.122,0.5141299698627473,-99.58585527,Animal
Sub-Humid,F-Herbivore,P.latipinna,2,40,Fish,-27.71802808,-84.45336043063797,9.824502282,-6.45,0.173,0.122,0.31607229912589563,-86.49202676,Animal
Sub-Humid,F-Herbivore,P.latipinna,2,40,Fish,-27.04328912,-79.02226163063797,9.635355182,-6.45,0.173,0.122,0.31607229912589563,-81.06092796,Animal
Sub-Humid,F-Herbivore,P.latipinna,2,40,Fish,-27.035048033333332,-82.12857314063797,10.889592634666666,-6.45,0.173,0.122,0.31607229912589563,-84.16723947,Animal
Sub-Humid,F-Herbivore,P.latipinna,2,40,Fish,-26.3438269,-91.62227894063797,13.20892044,-6.45,0.173,0.122,0.31607229912589563,-93.66094527,Animal
Sub-Humid,I-Gatherer,Palaemonidae,2,NA,Invertebrate,-29.42323666,-91.88408812063797,9.373449727,-6.45,0.173,0.122,0.31607229912589563,-93.92275445,Animal
Sub-Humid,I-NA,periphyton,1,NA,Aquatic,-29.65654471,-119.77905866776055,11.35534244,-6.45,0.173,0.122,0.17300157088983747,-120.8949188,Plant
Sub-Humid,I-NA,periphyton,1,NA,Aquatic,-31.51686934,-115.25710276776056,3.725616493,-6.45,0.173,0.122,0.17300157088983747,-116.3729629,Plant
Sub-Humid,I-NA,periphyton,1,NA,Aquatic,-30.8128521,-118.28600276776055,4.788474039,-6.45,0.173,0.122,0.17300157088983747,-119.4018629,Plant
Sub-Humid,I-NA,periphyton,1,NA,Aquatic,-30.78215367,-126.46015286776056,9.754936024,-6.45,0.173,0.122,0.17300157088983747,-127.576013,Plant
Sub-Humid,I-NA,periphyton,1,NA,Aquatic,-30.4649366,-126.25697386776055,3.937779995,-6.45,0.173,0.122,0.17300157088983747,-127.372834,Plant
Sub-Humid,I-NA,periphyton,1,NA,Aquatic,-30.80159601,-121.66922876776056,4.159123649,-6.45,0.173,0.122,0.17300157088983747,-122.7850889,Plant
