r2,p,axis1,axis2,vector,v_type
0.7713046898378988,0.009,0.04515768657706472,-0.3832984341749392,C.lutrensis,Species
0.8337548496979473,0.003,-0.003261098150437064,0.3862049545229394,G.affinis,Species
0.9685302910553132,0.002,-0.27063094005086474,-0.14721500006563595,H.cyanoguttatum,Species
0.20644226546782274,0.642,-0.03243008346412095,0.023162882338036223,O.aureus,Species
0.9771340163608189,0.007,-0.7211850463719033,-0.03904712096884807,P.latipinna,Species
0.884473332494439,0.014,-0.16739867175886097,5.492070354470675e-4,P.vigilax,Species
0.26672914393448693,0.439,-0.0519984200671856,-0.017779669954162216,C.carpio,Species
0.26672914393448705,0.439,-0.06878744403302187,-0.023520292545760185,C.variegatus,Species
0.01261332810445277,0.932,-0.003071919549402351,-0.05000483118497215,L.gulosus,Species
0.1762028645955736,0.78,0.04636131506840091,0.04922521465344551,F.grandis,Species
0.2628768198082148,0.456,0.06254982242406142,0.01836969242904977,L.cyanellus,Species
0.6642704133994196,0.033,0.39245180412009967,-0.0479903565963445,L.macrochirus,Species
0.9513784619408424,0.001,0.48510429137218464,-0.10612797155537317,L.megalotis,Species
0.1762028645955736,0.78,0.013112960107836923,0.01392299323472587,L.miniatus,Species
0.2676857522666799,0.433,0.06643042886396806,0.017609895116383792,L.oculatus,Species
0.22668020834749075,0.468,0.05782006506511244,0.06782945726575744,N.texanus,Species
0.31818360708424565,0.233,0.03274685139703202,0.09323285335088641,L.auritus,Species
0.31818360708424565,0.233,0.017503928346184774,0.0498350563471937,L.microlophus,Species
0.13514461832811867,0.721,0.050423709908236504,0.012517751199942069,M.salmoides,Species
0.31818360708424565,0.233,0.05535228157432815,0.15759228537996303,N.gyrinus,Species
0.24413379537382005,0.564,0.026214187373385864,-0.0563404929067929,A.melas,Species
0.24413379537382005,0.564,0.026214187373385864,-0.0563404929067929,A.natalis,Species
0.08520232946537103,0.819,-0.9995926152132433,-0.028541261554965364,Flow,Physical
0.2870034359870393,0.352,-0.3542801091712818,-0.935139350174927,Conductivity,Physical
0.04003512414223701,0.932,0.8868381154096923,0.46208024958505356,Max Depth,Physical
0.91324528338715,0.001,-0.9554624535732448,-0.2951126900216174,Nitrate,Physical
0.48560902644074466,0.121,0.8264287480230376,-0.5630413168152715,Algae,Physical
0.1713964492804002,0.575,0.8725768525897816,-0.48847685341734526,Canopy,Physical
