site,trophic_category,species,trophic_level_fbase,size_max,guild,carbon,hydrogen,nitrogen,hydrogen_water,W,W_sd,W_compound,hydrogen_raw,kingdom,src_d15N_AQ_mu,src_d15N_TE_mu,percent_AQ_mu,percent_TE_mu,nitrogen_raw
Semi-Arid,F-Piscivore,L.cyanellus,3.5,80,Fish,-25.11905813,-108.23256232222508,-0.42791116535672913,7.36,0.173,0.122,0.4856384948675363,-104.658263,Animal,11.459444834363635,13.958484455,0.6992198343771412,0.3007801656228588,11.78319522
Semi-Arid,F-Invertivore,L.gulosus,3.4,80,Fish,-25.28755289,-102.70080624827985,3.3333339970017377,7.36,0.173,0.122,0.475774783733672,-99.19910384,Animal,11.459444834363635,13.958484455,0.6039305297678386,0.39606947023216144,15.78257213
Semi-Arid,F-Invertivore,L.gulosus,3.4,80,Fish,-25.65995852,-103.25490937827982,4.128185037001737,7.36,0.173,0.122,0.475774783733672,-99.75320697,Animal,11.459444834363635,13.958484455,0.6039305297678386,0.39606947023216144,16.57742317
Semi-Arid,F-Invertivore,L.gulosus,3.4,80,Fish,-25.93040872,-116.73223080827982,-0.4972249929982624,7.36,0.173,0.122,0.475774783733672,-113.2305284,Animal,11.459444834363635,13.958484455,0.6039305297678386,0.39606947023216144,11.95201314
Semi-Arid,F-Invertivore,L.macrochirus,3.2,80,Fish,-23.85910363,-107.19697309481673,3.3102220170017382,7.36,0.173,0.122,0.45547627646966393,-103.8446677,Animal,11.459444834363635,13.958484455,0.6039305297678386,0.39606947023216144,15.75946015
Semi-Arid,F-Invertivore,L.macrochirus,3.2,80,Fish,-26.87269156,-111.89633199481672,2.870089587001738,7.36,0.173,0.122,0.45547627646966393,-108.5440266,Animal,11.459444834363635,13.958484455,0.6039305297678386,0.39606947023216144,15.31932772
Semi-Arid,F-Invertivore,L.macrochirus,3.2,80,Fish,-25.88211404,-100.46363888481672,0.5307555470017373,7.36,0.173,0.122,0.45547627646966393,-97.11133349,Animal,11.459444834363635,13.958484455,0.6039305297678386,0.39606947023216144,12.97999368
Semi-Arid,F-Piscivore,L.oculatus,4,120,Fish,-23.04346017,-110.32088370441092,6.48658946464327,7.36,0.173,0.122,0.5322420114688746,-106.4035825,Animal,11.459444834363635,13.958484455,0.6992198343771412,0.3007801656228588,18.69769585
Semi-Arid,F-Piscivore,L.oculatus,4,400,Fish,-23.28600678,-107.40780190441092,5.462628394643271,7.36,0.173,0.122,0.5322420114688746,-103.4905007,Animal,11.459444834363635,13.958484455,0.6992198343771412,0.3007801656228588,17.67373478
Semi-Arid,I-NA,leaf,1,NA,Terrestrial,-32.82259593,-96.5136021117492,-0.753400215000001,7.36,0.173,0.122,0.17300157088983747,-95.24031055,Plant,11.459444834363635,13.958484455,0,1,13.20508424
Semi-Arid,I-NA,leaf,1,NA,Terrestrial,-29.26596118,-99.4023321517492,-2.7450497150000004,7.36,0.173,0.122,0.17300157088983747,-98.12904059,Plant,11.459444834363635,13.958484455,0,1,11.21343474
Semi-Arid,I-NA,leaf,1,NA,Terrestrial,-30.71372831,-90.7962276217492,1.914525845,7.36,0.173,0.122,0.17300157088983747,-89.52293606,Plant,11.459444834363635,13.958484455,0,1,15.8730103
Semi-Arid,I-Predator,Nepidae,3,NA,Invertebrate,-23.40406044,-82.56713647453557,2.221845971131616,7.36,0.173,0.122,0.4343917913771157,-79.37001289,Animal,11.459444834363635,13.958484455,0.6171585209757012,0.38284147902429877,14.63802683
