r,p,axis1,axis2,labels
0.7713046898378988,0.024,0.04515768657706472,-0.3832984341749392,C.lutrensis
0.8337548496979473,0.004,-0.003261098150437064,0.3862049545229394,G.affinis
0.9685302910553132,0.001,-0.27063094005086474,-0.14721500006563595,H.cyanoguttatum
0.20644226546782274,0.644,-0.03243008346412095,0.023162882338036223,O.aureus
0.9771340163608189,0.002,-0.7211850463719033,-0.03904712096884807,P.latipinna
0.884473332494439,0.013,-0.16739867175886097,5.492070354470675e-4,P.vigilax
0.26672914393448693,0.449,-0.0519984200671856,-0.017779669954162216,C.carpio
0.26672914393448705,0.449,-0.06878744403302187,-0.023520292545760185,C.variegatus
0.01261332810445277,0.94,-0.003071919549402351,-0.05000483118497215,L.gulosus
0.1762028645955736,0.75,0.04636131506840091,0.04922521465344551,F.grandis
0.2628768198082148,0.451,0.06254982242406142,0.01836969242904977,L.cyanellus
0.6642704133994196,0.039,0.39245180412009967,-0.0479903565963445,L.macrochirus
0.9513784619408424,0.001,0.48510429137218464,-0.10612797155537317,L.megalotis
0.1762028645955736,0.75,0.013112960107836923,0.01392299323472587,L.miniatus
0.2676857522666799,0.413,0.06643042886396806,0.017609895116383792,L.oculatus
0.22668020834749075,0.465,0.05782006506511244,0.06782945726575744,N.texanus
0.31818360708424565,0.242,0.03274685139703202,0.09323285335088641,L.auritus
0.31818360708424565,0.242,0.017503928346184774,0.0498350563471937,L.microlophus
0.13514461832811867,0.677,0.050423709908236504,0.012517751199942069,M.salmoides
0.31818360708424565,0.242,0.05535228157432815,0.15759228537996303,N.gyrinus
0.24413379537382005,0.556,0.026214187373385864,-0.0563404929067929,A.melas
0.24413379537382005,0.556,0.026214187373385864,-0.0563404929067929,A.natalis
